Date : 2026-08-27 16:44:22
Directory : c:\Users\25580\Desktop\handfree
Total : 434 files,  57720 codes, 5605 comments, 10830 blanks, all 74155 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        326 |     33,043 |      5,310 |      6,700 |     45,053 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\chatbot\__init__.py                                                        | Python           |          3 |          0 |          2 |          5 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\chatbot\base.py                                                            | Python           |         73 |         17 |         26 |        116 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\chatbot\simple_respondent.py                                               | Python           |          6 |          1 |          5 |         12 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\cli.py                                                                     | Python           |        121 |         37 |         33 |        191 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\__init__.py                                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\docs.py                                                           | Python           |         43 |         10 |         14 |         67 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui\__init__.py                                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui\base.py                                                  | Python           |         36 |          1 |          7 |         44 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui\cli.py                                                   | Python           |          0 |          1 |          1 |          2 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui\config.py                                                | Python           |        136 |         24 |         24 |        184 |
| c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\kotaemon\kotaemon\contribs\promptui\export.py                                                | Python           |         92 |         25 |         25 |        142 |
