"filename", "language", "Python", "Markdown", "PostCSS", "pip requirements", "JSON", "YAML", "Shell Script", "Batch", "Docker", "HTML", "JavaScript", "XML", "Ini", "comment", "blank", "total"
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\db\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\db\base_models.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 21, 103
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\db\engine.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\db\models.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 50
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\embeddings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\embeddings\db.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 37
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\embeddings\manager.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 42, 227
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\embeddings\ui.py", "Python", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47, 412
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\exceptions.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\extension_protocol.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 4, 40
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\base.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 17, 133
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\base.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 21, 162
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\exceptions.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\__init__.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\25580\Desktop\handfree\.research\kotaemon\libs\ktem\ktem\index\file\graph\graph_index.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 37
